FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,FCOUNTY,STYPE,SADDR,SCITY,SSTATE,SZIP,LICENSEE,LICNO,PENDING,FID,CLOSED,TERMINATED,HCACAT,HOSCAT,NPCAT,NSGSVCS,CLINICAL,IVSV,AIDESV,SWSV,PTSV,OTSV,SPSV,SPLYSV,NSGPOOL,POOLAIDE,HHASV,HHANO,HOSNO,HPBEDS,HRBEDS,EXPIRES,JCAHO,RJCAHO,ACHC,CARF,NARRAL,ACCHC,NHCC,PPH,CHAP,OTHERA
"Lincare Inc.","P.O. Box 9004","Clearwater","FL","33758-9004","(910)755-7277","Brunswick","HC","1011 Zion Hill Road","Bolivia","NC","28422-","Lincare, Inc.","HC4184",F,"100991",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Paliative Care Center of Lower Cape Fear Hospice","1414 Physicians Drive","Wilmimgton","NC","28401-","(910)754-5356","Brunswick","HC","955 Mercy Lane  S.E.","Bolivia","NC","28422-","Lower Cape Fear Hospice, Inc.","HC2124",F,"020030",F,F,T,F,T,T,F,F,T,T,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"PruittHealth Home Health Brunswick","509 Old Waterford Way","Leland","NC","28451-","(910)473-5104","Brunswick","HC","509 Old Waterford Way; Suite 205","Leland","NC","28451-","PruittHealth Home Health, Inc.","HC4816",F,"160002",F,F,T,F,F,T,F,T,F,T,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Summit Care at Home","853 Old Winston Road, Suite 118","Kernersville","NC","27284-","(910)754-8080","Brunswick","HC","5490 Arbor Branch","Shallotte","NC","28470-","Summit Care at Home","HC4191",F,"101036",F,F,T,F,F,F,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Well Care Home Care, Inc.","P. O. Box 475","Supply","NC","28462-","(910)338-2763","Brunswick","HC","118 Ocean Highway West","Supply","NC","28462-","Well Care Home Care, Inc.","HC0916",F,"954210",F,F,T,F,T,T,T,T,T,T,F,T,T,F,T,T,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"A New Hope Home Care","339 Merrimon Avenue","Asheville","NC","28801-","(828)255-4446","Buncombe","HC","339 Merrimon Avenue","Asheville","NC","28801-","A New Hope Home Care, Inc.","HC4367",F,"110354",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Accucare, Inc.","1 Resort Drive, Suite B","Asheville","NC","28806-","(828)236-3100","Buncombe","HC","1 Resort Drive, Suite B","Asheville","NC","28806-","Accucare, Inc.","HC2336",F,"030336",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,T
"Advanced Home Care, Inc.","P.O. Box 18049","Greensboro","NC","27419-8049","(828)285-0239","Buncombe","HC","120 Sweeten Creek  Road","Asheville","NC","28803-1526","Advanced  Home Care Inc.","HC1270",F,"955434",F,F,T,F,F,F,T,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Advantage Home and Community  Care, Inc.","8 Elk Mountain Road","Asheville","NC","28804-","(888)350-5397","Buncombe","HC","8 Elk Mountain Road","Asheville","NC","28804-","Advantage Home  and Community Care, Inc.","HC1421",F,"960516",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,F
"Aerocare","3325 Barlett Blvd.","Orlando","FL","32811-","(828)651-8727","Buncombe","HC","2940 Trawick Road; Suite 5","Raleigh","NC","27604-3770","Aerocare Holdings, Inc.","HC4771",F,"150247",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Aeroflow Healthcare","3165 Sweeten Creek Road","Asheville","NC","28803-","(828)277-1400","Buncombe","HC","3165 Sweeten Creek Road","Asheville","NC","28803-","Aeroflow Inc.","HC3720",F,"070709",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Always Best Care of Asheville - Hendersonville","103 Underwood Rd. Suite J","Fletcher","NC","28732-","(828)676-2939","Buncombe","HC","103 Underwood Rd. Suite J","Fletcher","NC","28732-","JSA Associates, Inc.","HC4352",F,"110295",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Apria Healthcare LLC","26220 Enterprise CT","Lake Forest","CA","92630-","(828)684-9981","Buncombe","HC","141 Glenn Bridge Road","Arden","NC","28704-","Apria Healthcare LLC","HC1335",F,"956849",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"BAYADA Home Health Care, Inc.","1200 Ridgefield Blvd.","Asheville","NC","28806-","(828)681-5100","Buncombe","HC","1200 Ridgefield Blvd.; Suite 110","Asheville","NC","28806-","BAYADA Home Health Care, Inc.","HC2276",F,"030058",F,F,T,F,T,T,F,T,T,F,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Blue Ridge Home Care","101 Caribou Road","Asheville","NC","28803-1526","(828)232-1110","Buncombe","HC","101 Caribou Road","Asheville","NC","28803-1526","Blue Ridge Home Care","HC1358",F,"956334",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,T,F,F,F,F,F,T,F
"BrightStar Care of Asheville","1340 F. Patton Avenue","Asheville","NC","28806-","(828)255-1733","Buncombe","HC","1340 F. Patton Avenue","Asheville","NC","28806-","Rhonal, Inc.","HC3885",F,"090677",F,F,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"CarePartners Home Health Services","68 Sweeten Creek Road","Asheville","NC","28803-","(828)252-2255","Buncombe","HC","68 Sweeten Creek Road","Asheville","NC","28803-","Community CarePartners, Inc.","HC0114",F,"954204",F,F,T,F,F,T,T,T,T,T,T,T,T,F,T,T,T,"347083","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"CarePartners Private Duty Services","68 Sweeten Creek Road","Asheville","NC","28803-","(828)252-2255","Buncombe","HC","68 Sweeten Creek Road","Asheville","NC","28803-","Community CarePartners, Inc.","HC1492",F,"970288",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Caring Hearts and Hands Inc.","48 Holly Hill Drive","Asheville","NC","28806-","(828)333-5051","Buncombe","HC","48 Holly Hill Drive","Asheville","NC","28806-","Caring Hearts and Hands Inc.","HC4132",F,"100727",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Coram CVS/Specialty Infusion Services","One CVS Drive, MC# 1160","Woonsocket","RI","02895-","(828)258-1150","Buncombe","HC","30 Garfield Street, Suite B","Asheville","NC","28803-","Coram Alternate Site Services, Inc.","HC0089",F,"953611",F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Givens Estates United Methodist Retirement Community","2360 Sweeten Creek Road","Asheville","NC","28803-","(828)274-4800","Buncombe","HC","2360 Sweeten Creek Road","Asheville","NC","28803-","The Givens Estates, Inc.","HC0345",F,"953769",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Givens Highland Farms, LLC","200 Tabernacle Road","Black Mountain","NC","28711-","(828)669-6473","Buncombe","HC","200 Tabernacle Road","Black Mountain","NC","28711-","Givens Highland Farms, LLC","HC1383",F,"960209",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Home Carefree","P. O. Box 15865","Asheville","NC","28813-","(828)277-1580","Buncombe","HC","900 Hendersonville Road, Suite 204A","Asheville","NC","28803-","Pro Temps Medical Staffing, Inc.","HC2293",F,"030121",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Home Instead Senior Care","1293 Hendersonville Road","Asheville","NC","28803-","(828)274-4406","Buncombe","HC","1293 Hendersonville Road; Suite 4","Asheville","NC","28803-","Blue Ridge Senior Services, Inc","HC3917",F,"090799",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Homewatch CareGivers of Western North Carolina","1977 Hendersonville Road, Unit 4","Asheville","NC","28803-","(828)676-1585","Buncombe","HC","1977 Hendersonville Road, Unit 4","Asheville","NC","28803-","Blue Ridge Home Care, Inc.","HC4069",F,"100378",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Interim Healthcare","P.O. Box 2249","Whiteville","NC","28472-7249","(828)274-2082","Buncombe","HC","2 Walden Ridge Drive, Unit 20 A","Asheville","NC","28803-","The Byrd Healthcare Group of North Carolina, LLC","HC2046",F,"010646",F,F,T,F,T,T,F,T,T,T,T,T,T,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Kindred at Home","12900 Foster, Suite 400","Overland Park","KS","66213-2676","(828)298-1370","Buncombe","HC","9 Olde Eastwood Village Blvd.","Asheville","NC","28803-1670","Capital Care Resources, LLC","HC2114",F,"011260",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347235","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Lincare, Inc.","19387 U.S. 19 North","Clearwater","FL","33764-","(828)255-4545","Buncombe","HC","103 Elk Park Drive","Asheville","NC","28804-","Lincare, Inc.","HC1108",F,"944416",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Maxim Healthcare Services, Inc.","7227 Lee DeForest Drive","Columbia","MD","21046-","(828)299-4388","Buncombe","HC","1269 Tunnel Road, Suite E","Asheville","NC","28805-","Maxim Healthcare Services, Inc.","HC2021",F,"010511",F,F,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Mountain Home Care","P.O. Box 517","Arden","NC","28704-","(828)684-6444","Buncombe","HC","2270 Hendersonville Road, Suite 3","Arden","NC","28704-","Mountain Home Care LLC","HC3777",F,"090158",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Nurse Next Door","1950 Hendersonville Rd","Skyland","NC","28776-","(828)301-9116","Buncombe","HC","1944 Hendersonville Road Bldg B-1 ,Suite D","Asheville","NC","28803-","Geridoc Home Care, LLC","HC4843",F,"160321",F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Premier Home Health Care Services, Inc.","445 Hamilton Avenue, 10th Floor","White Plains","NY","10601-","(828)277-5950","Buncombe","HC","1550 Hendersonville Road","Asheville","NC","28803-","Premier Home Health  Care Services , Inc.","HC1263",F,"955408",F,F,T,F,T,T,F,T,T,F,T,F,F,F,T,T,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"RehabCare","c/o Deerfield Episcopal Retirement","Asheville","NC","28803-","(828)274-1531","Buncombe","HC","c/o Deerfield Episcopal Retirement; Community, 29 Highb","Asheville","NC","28803-","RehabCare Group East, Inc.","HC4674",F,"140283",F,F,T,F,F,F,F,F,F,F,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"ResCare HomeCare","834 Tyvola Road; Suite 116","Charlotte","NC","28217-3517","(828)252-0891","Buncombe","HC","1328 Patton Ave, Unit C","Asheville","NC","28806-","CNC Access Inc","HC0056",F,"943960",F,F,T,F,T,T,F,F,T,F,T,T,T,F,T,T,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"T.L.C. for You, Inc.","1100 Ridgefield Blvd.","Asheville","NC","28806-","(828)670-1379","Buncombe","HC","1100 Ridgefield Blvd.","Asheville","NC","28806-","T.L.C. for You - Susie Tarantino","HC4441",F,"110753",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Turning Point Services, Inc.","716 Jamestown Road","Morganton","NC","28655-","(828)584-6900","Buncombe","HC","716 Jamestown Road","Morganton","NC","28655-","Turning Point Services, Inc.","HC4647",F,"140023",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Visiting Angels of  WNC","671 Brevard Road","Asheville","NC","28806-","(828)665-3944","Buncombe","HC","671 Brevard Road","Asheville","NC","28806-","UNILISI, LLC","HC2507",F,"040199",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"BAYADA Home Health Care, Inc.","305 South Green Street, Suite 200","Morganton","NC","28655-","(828)437-5454","Burke","HC","305 South Green Street, Suite 200","Morganton","NC","28655-","BAYADA Home Health Care, Inc.","HC3925",F,"090851",F,F,T,F,T,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Catawba Valley Medical Services","P. O. Box 2756","Morganton","NC","28680-","(828)437-8808","Burke","HC","409 B South Sterling Street","Morganton","NC","28655-","Advanced Business Concepts, Inc.","HC1694",F,"980806",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,F
"Grace Ridge Retirement Community","500 Lenoir Road","Morganton","NC","28655-","(828)580-8300","Burke","HC","500 Lenoir Road","Morganton","NC","28655-","Grace Lifecare, Inc.","HC1442",F,"960777",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Handi-Care, Inc.","P O Box 1778","Drexel","NC","28619","(828)437-8429","Burke","HC","304 South Main Street","Drexel","NC","28619-","Handi-Care, Inc.","HC0449",F,"953782",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Healthy @ Home - Blue Ridge","P.O. Box 32861","Charlotte","NC","28232-2861","(828)580-6450","Burke","HC","141 Fiddlers Run Blvd.","Morganton","NC","28655-","Carolinas Medical Center at Home, LLC","HC0105",F,"953773",F,F,T,F,F,T,T,T,T,T,T,T,T,F,F,F,T,"347181","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,T
"Advanced Home Care, Inc.","P.O. Box 18049","Greensboro","NC","27419-8049","(704)784-2110","Cabarrus","HC","744 Church Street N","Concord","NC","28025-","Advanced Home Care, Inc.","HC0281",F,"943632",F,F,T,F,F,T,T,T,T,T,T,T,T,F,F,F,T,"347126","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"American HomePatient, Inc.","5200 MarylandWay","Brentwood","TN","37027-","(704)786-5600","Cabarrus","HC","7156 Weddington Road, Suite 190","Concord","NC","28027-","American HomePatient, Inc.","HC3335",F,"060144",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Angelic Home Care, Inc.","2595 Old Ashworth Lane NW","Concord","NC","28027-","(704)262-3324","Cabarrus","HC","174 Church Street, Suite 202","Concord","NC","28025-","Angelic Home Care, Inc.","HC4181",F,"101022",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Angels From Heaven Home Care","3232 Kayla Lane","Charlotte","NC","28215-","(704)654-9868","Cabarrus","HC","265 Manor Avenue SW","Charlotte","NC","28025-","Angels From Heaven Home Care","HC3189",F,"051179",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"BAYADA Home Health Care, Inc.","280 Concord Parkway South","Concord","NC","28027-","(704)720-4400","Cabarrus","HC","280 Concord Parkway South; Suite 110B","Concord","NC","28027-","BAYADA Home Health Care, Inc.","HC0486",F,"943643",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347021","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Bright Star of Northern Charlotte/Huntersville","400 McGill Avenue NW","Concord","NC","28027-","(704)721-7827","Cabarrus","HC","400 McGill Avenue NW, Suite 30","Concord","NC","28027-","Black Wolf Health North Charlotte, LLC","HC4099",F,"100514",F,F,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Clarke Community Care, LLC","6529 Hudspeth Road","Harrisburg","NC","28075-","(704)455-3500","Cabarrus","HC","6529 Hudspeth Road","Harrisburg","NC","28075-","Clarke Community Care, LLC","HC4459",F,"110848",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Greater Home Health Services LLC","528 Lake Concord Road NE","Concord","NC","28025-","(704)930-3908","Cabarrus","HC","528 Lake Concord Road NE","Concord","NC","28025-","Greater Home Health Services LLC","HC4785",F,"150302",F,F,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Griffin Home Health Care, Inc.","3600 Vineland Road","Orlando","FL","32811-","(704)998-6750","Cabarrus","HC","349 Copperfield Blvd. NE; Suite H2","Concord","NC","28025-","Griffin Home Health Care, Inc.","HC4936",F,"170493",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"H.O.P.E. United, Inc.","700 N. Cannon Blvd. N., Suite 113","Kannapolis","NC","28083-","(704)932-0184","Cabarrus","HC","700 N. Cannon Blvd. N., Suite 113","Kannapolis","NC","28083-","H.O.P.E. United Helping Others Progressively Excel Inc","HC4448",F,"110787",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Interim  Healthcare of the Triad, Inc.","2526 Ward Blvd","Wilson","NC","27893-","(704)784-3483","Cabarrus","HC","250 Branchview Drive NE, Suite D","Concord","NC","28025-","Interim Healthcare of the Triad, Inc.","HC2952",F,"050091",F,F,T,F,T,T,F,T,T,F,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"New Alternatives Home Health Services","P.O. Box 865","Harrisburg","NC","28075-","(704)455-1762","Cabarrus","HC","500 School Circle","Harrisburg","NC","28075-","New Alternatives Home Health Services","HC3169",F,"051108",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"New Infiniti Home Care Services, LLC","325 McGill Avenue NW","Concord","NC","28027-","(704)644-2550","Cabarrus","HC","325 McGill Avenue NW; Suite 527","Concord","NC","28027-","New Infiniti Home Care, LLC","HC4370",F,"110368",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Open Arms Home Health Care","P.O. Box 1924","Concord","NC","28026-","(704)788-1477","Cabarrus","HC","6B Violet Terrace","Concord","NC","28027-","Open Arms Home Health Care","HC3543",F,"061244",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Palliative Care of Cabarrus County","5003 Hospice Lane","Kannapolis","NC","28081-8496","(704)935-9434","Cabarrus","HC","5003 Hospice Lane","Kannapolis","NC","28081-8496","Hospice of Cabarrus County, Inc.","HC3658",F,"061527",F,F,T,F,F,T,F,F,T,T,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,T
"Prospect Home Care","685 North Cannon Blvd.","Kannapolis","NC","28083-","(704)934-2330","Cabarrus","HC","685 North Cannon Blvd.","Kannapolis","NC","28083-","Prospect Home Care Services, LLC","HC3981",F,"091058",F,F,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"ResCare Home Care","834 Tyvola Road","Charlotte","NC","28217-","(704)793-4220","Cabarrus","HC","320 Copperfield Blvd; Suite E","Concord","NC","28025-","CNC Access Inc,","HC1007",F,"953807",F,F,T,F,T,T,F,T,T,F,F,F,F,F,T,T,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Senior Helpers","1000 Copperfield Blvd NE","Concord","NC","28025-","(704)792-1001","Cabarrus","HC","1000 Copperfield Blvd NE; Suite 112","Concord","NC","28025-","The Jarrard Group, Inc.","HC4019",F,"100098",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Seniors Helping Seniors of Cabarrus & Rowan Counties","10060 Enclave Circle","Concord","NC","28027-","(704)720-0631","Cabarrus","HC","10060 Enclave Circle","Concord","NC","28027-","Gentle Companions LLC","HC4894",F,"170209",F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Adult and Pediatric Specialists","P.O. Box 9004","Clearwater","FL","33758-9004","(828)726-1306","Caldwell","HC","2024 Connelly Springs Road","Lenoir","NC","28645-","Lincare Inc.","HC3701",F,"070282",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Advanced Home Care","P. O. Box 18049","Greensboro","NC","27419-8049","(828)726-0901","Caldwell","HC","461 Harper Avenue, SW","Lenoir","NC","28645","Advanced Home Care","HC0487",F,"943645",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347079","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Advanced Home Care, Inc.","P.O. Box 18049","Greensboro","NC","27419-","(828)726-0901","Caldwell","HC","375 Main Avenue, NE","Hickory","NC","28601-","Advanced Home Care, Inc.","HC2828",F,"041152",F,F,T,F,F,F,T,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Caldwell Home Services","P.O. Box 168","Hudson","NC","28638-","(828)728-0168","Caldwell","HC","122 Fairway Shopping Center","Hudson","NC","28638-","Caldwell Home Services Inc.","HC3482",F,"061012",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Caldwell Hospice and Palliative Care","902 Kirkwood Street, NW","Lenoir","NC","28645-","(828)754-0101","Caldwell","HC","902 Kirkwood Street, NW","Lenoir","NC","28645-","Caldwell Hospice and Palliative Care, Inc.","HC3704",F,"070350",F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Gala In-Home Care Services, LLC","P.O. Box 26","Granite Falls","NC","28630-","(704)650-2477","Caldwell","HC","5549 Grace Chapel Road","Hickory","NC","28601-","Logo Home Care Services, LLC","HC4230",F,"101124",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Harmony Home Care","230 Morganton Blvd SW","Lenoir","NC","28645-","(828)754-4401","Caldwell","HC","230 Morganton Blvd SW; Suite A","Lenoir","NC","28645-","Harmony Home Care, Inc.","HC3783",F,"090178",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"HomeCare Management Corporation","315  Wilkesboro Blvd., NE","Lenoir","NC","28645-4498","(828)754-3665","Caldwell","HC","315  Wilkesboro Blvd., NE; Suite 2-A","Lenoir","NC","28645-4498","HomeCare Management Corporation","HC1093",F,"944248",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Premier HomeCare, LLC","P.O. Box 447","Granite Falls","NC","28630-","(828)396-9111","Caldwell","HC","91 N. Main Street","Granite Falls","NC","28630-","Premier HomeCare, LLC","HC3386",F,"060454",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"ResCare HomeCare","834 Tyvola Road","Charlotte","NC","28217-","(828)754-4528","Caldwell","HC","332 Mulberry Street SW","Lenoir","NC","28645-","CNC/Access, Inc.","HC0306",F,"943640",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Visiting Angels","1822 Hickory Blvd. SW","Lenoir","NC","28645-","(828)572-4300","Caldwell","HC","1822 Hickory Blvd. SW","Lenoir","NC","28645-","Gray's Angels-Keith & Elizabeth Gray","HC4427",F,"110558",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Albemarle Home Care and Hospice","P.O. Box 1928","Lexington","SC","29072-","(252)331-7938","Camden","HC","150 US Highway 158 East","Camden","NC","27921-7521","MSA Home Health and Hospice of NC, Inc.","HC0473",F,"923592",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"34Q7017003","",0,0,12/31/2018,F,F,T,F,F,T,F,F,F,F
"Access Community - Based Services","P.O. Box 51266","Lafayette","LA","70505-1266","(252)247-6911","Carteret","HC","147 NC Highway 24, Suite 202","Morehead City","NC","28557-8982","LHCG L, LLC","HC0238",F,"944084",F,F,T,F,T,T,F,F,T,F,F,F,F,F,T,T,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Carolina Home Medical, Inc.","1301 Commerce Drive","New Bern","NC","28562-","(252)222-0038","Carteret","HC","5370 Hwy 70 West, Suite A","Morehead City","NC","28557-","Carolina Home Medical Inc.","HC3201",F,"051227",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Carteret Healthcare Home Health & Hospice","P. O. Box 1619","Morehead City","NC","28557-","(252)499-6081","Carteret","HC","302 Medical Park Court","Morehead City","NC","28557-","Carteret County General Hospital Corporation","HC0488",F,"943665",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347042","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Companion and Home Care, LLC","P.O. Box 5375","Emerald Isle","NC","29594-","(252)764-9574","Carteret","HC","208 Bouge Inlet Drive, Suite E","Emerald Isle","NC","29594-","Companion and Home Care, LLC.","HC4796",F,"150367",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
